Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Thu Jul 30 2020,6:30p,Utah Jazz,,New Orleans Pelicans,,,,,
Thu Jul 30 2020,9:00p,Los Angeles Clippers,,Los Angeles Lakers,,,,,
